caldt,b5ret,b1ret
19731231,0.045593,0.058545
19741231,0.054820,0.083023
19751231,0.080709,0.087936
19761231,0.124046,0.082016
19771230,0.019474,0.047571
19781229,0.014017,0.050059
19791231,0.056721,0.091340
19801231,0.038129,0.110090
19811231,0.064997,0.153558
19821231,0.283259,0.189623
19831230,0.069908,0.093437
19841231,0.148721,0.130524
19851231,0.211688,0.114341
19861231,0.161610,0.090515
19871231,0.026125,0.066111
19881230,0.057869,0.066996
19891229,0.138361,0.104549
19901231,0.097125,0.097657
19911231,0.155827,0.097469
19921231,0.073027,0.056479
19931231,0.101623,0.041296
19941230,-0.035880,0.023245
19951229,0.171076,0.083992
19961231,0.028983,0.055055
19971231,0.079128,0.062429
19981231,0.093144,0.061431
19991231,-0.013631,0.043106
20001229,0.124832,0.069920
20011231,0.082663,0.074351
20021231,0.131414,0.034147
20031231,0.028316,0.014680
20041231,0.023357,0.006780
20051230,0.006417,0.022705
20061229,0.027326,0.041550
20071231,0.101484,0.059550
20081231,0.130992,0.046384
20091231,-0.024850,0.005438
20101231,0.060326,0.005810
20111230,0.089274,0.003515
20121231,0.024179,0.001726
20131231,-0.023583,0.003387
20141231,0.037733,0.002411
